date,value
2004-04-01,96.0640347340347
2004-07-01,98.5425552031512
2004-10-01,96.6622982955455
2005-01-01,94.354710272575
2005-04-01,95.9785685109617
2005-07-01,98.4570889800782
2005-10-01,98.8844200954431
2006-01-01,100.166413441538
2006-04-01,102.474001464509
2006-07-01,102.132136572217
2006-10-01,98.8844200954432
2007-01-01,97.1750956339835
2007-04-01,97.2605618570564
2007-07-01,96.4913658493996
2007-10-01,96.6622982955455
2008-01-01,99.3117512108081
2008-04-01,100.739230180984
2008-07-01,105.7354065766
2008-10-01,117.053275554423
2009-01-01,113.892429263319
2009-04-01,106.551108845271
2009-07-01,103.288299770584
2009-10-01,98.9039000764721
2010-01-01,99.2097884272241
2010-04-01,101.045118531736
2010-07-01,101.758858016824
2010-10-01,97.9862350242162
2011-01-01,99.3117512108081
